Date,Type,Cost,Value
2020-12-31,Rebalance,142760.47074243214,407887059.2640918
2021-03-31,Rebalance,141261.71942620233,403604912.6462923
2021-04-30,Rebalance,147091.5917911276,420261690.8317931
2021-06-30,Rebalance,151902.10502974724,434006014.3707064
2021-08-31,Rebalance,159228.8827497232,454939664.99920917
2021-09-30,Rebalance,152746.1784960631,436417652.8458946
2021-11-30,Rebalance,162118.76281617876,463196465.1890822
2021-12-31,Rebalance,163566.83038692118,467333801.1054891
2022-01-31,Rebalance,153637.42239113437,438964063.97466964
2022-02-28,Rebalance,149873.57542362748,428210215.4960785
2022-03-31,Rebalance,152971.99574530008,437062844.98657167
2022-05-31,Rebalance,136918.808141194,391196594.68912566
2022-06-30,Rebalance,128655.85435870678,367588155.3105908
2022-08-31,Rebalance,132952.9386593899,379865539.02682835
2022-09-30,Rebalance,122449.60067990598,349856001.9425885
2022-10-31,Rebalance,124701.65234419028,356290435.2691151
2022-11-30,Rebalance,131236.56535979305,374961615.3136944
2023-01-31,Rebalance,133857.20746790332,382449164.1940095
2023-02-28,Rebalance,131732.32377860128,376378067.93886083
2023-03-31,Rebalance,141289.44914922642,403684140.4263612
2023-05-31,Rebalance,148071.52705837486,423061505.88107103
2023-06-30,Rebalance,153191.91939919756,437691198.2834216
2023-07-31,Rebalance,156982.4100318584,448521171.5195954
2023-08-31,Rebalance,155019.028188025,442911509.1086428
2023-10-31,Rebalance,146924.3170476376,419783762.9932503
2023-11-30,Rebalance,158783.8315908655,453668090.2596157
2024-01-31,Rebalance,167468.8334993377,478482381.42667913
2024-02-29,Rebalance,172110.6208567047,491744631.01915634
2024-04-30,Rebalance,170028.49181424503,485795690.89784294
2024-05-31,Rebalance,177377.3556767059,506792444.79058826
2024-07-31,Rebalance,184958.9314162728,528454089.76077944
2024-09-30,Rebalance,191955.17275877437,548443350.7393553
2024-10-31,Rebalance,190303.32884636137,543723796.7038896
2024-12-31,Rebalance,195678.3031232338,559080866.0663823
2025-01-31,Rebalance,199828.59693843787,570938848.3955368
2025-02-28,Rebalance,198174.1245735074,566211784.4957354
2025-03-31,Rebalance,190963.81319262678,545610894.8360765
2025-04-30,Rebalance,193760.2301785636,553600657.6530389
2025-06-30,Rebalance,213019.36099732088,608626745.7066311
2025-07-31,Rebalance,215742.10252385377,616406007.2110108
2025-09-30,Rebalance,229136.9842972454,654677097.9921297
2025-10-31,Rebalance,236858.9037088177,676739724.8823363
2025-12-31,Rebalance,235643.9907814227,673268545.0897791
2026-03-31,Rebalance,229240.67817893467,654973366.2255276
2026-04-30,Rebalance,250491.1155719614,715688901.6341754
2026-06-30,Rebalance,263181.0951300505,751945986.0858586
