Date,Portfolio,Cash,QQQ,QQQ_holdings,BND,BND_holdings,GLD,GLD_holdings
2010-03-09,100890784.0808849,-35000.0,60478247.587554336,1490810.816241632,30454822.63438986,620712.9415750093,9992713.8589407,91074.67870730546
2010-03-10,101245083.88161194,-35000.0,60969398.95983022,1490810.816241632,30431814.411225166,620712.9415750093,9878870.510556567,91074.67870730546
2010-03-11,101485739.45935573,-35000.0,61202065.17425465,1490810.816241632,30427964.31645664,620712.9415750093,9890709.968644442,91074.67870730546
2010-03-12,101450973.55874276,-35000.0,61214997.393935956,1490810.816241632,30439464.876291048,620712.9415750093,9831511.288515763,91074.67870730546
2010-03-15,101375426.40128976,-35000.0,61059879.00166373,1490810.816241632,30481695.15931484,620712.9415750093,9868852.240311192,91074.67870730546
2010-03-16,102002706.35095744,-35000.0,61447680.66933621,1490810.816241632,30535381.013365783,620712.9415750093,10054644.668255454,91074.67870730546
2010-03-17,102104637.86125728,-35000.0,61615697.15933805,1490810.816241632,30543066.995911073,620712.9415750093,9980873.70600817,91074.67870730546
2010-03-18,102326051.75745097,-35000.0,61822521.682367675,1490810.816241632,30489350.36004464,620712.9415750093,10049179.71503865,91074.67870730546
2010-03-19,101787483.5163888,-35000.0,61448556.46609563,1490810.816241632,30512360.95104129,620712.9415750093,9861566.09925189,91074.67870730546
2010-03-22,102326306.94958761,-35000.0,62004943.32296437,1490810.816241632,30543066.995911073,620712.9415750093,9813296.630712163,91074.67870730546
2010-03-23,102805215.90480943,-35000.0,62431939.739116825,1490810.816241632,30543066.995911073,620712.9415750093,9865209.169781541,91074.67870730546
2010-03-24,102170219.98269348,-35000.0,62134345.13766454,1490810.816241632,30389636.22050451,620712.9415750093,9681238.624524431,91074.67870730546
2010-03-25,102027453.95557256,-35000.0,62043779.79095186,1490810.816241632,30293720.083429772,620712.9415750093,9724954.081190933,91074.67870730546
2010-03-26,102322182.88278174,-35000.0,62108446.57635027,1490810.816241632,30358937.27913061,620712.9415750093,9889799.027300864,91074.67870730546
2010-03-29,102569143.9446357,-35000.0,62406052.55178646,1490810.816241632,30293720.083429772,620712.9415750093,9904371.309419468,91074.67870730546
2010-03-30,102766481.80293144,-35000.0,62613087.493518025,1490810.816241632,30355061.138210513,620712.9415750093,9833333.171202915,91074.67870730546
2010-03-31,102549085.97903052,-35904.746754024585,61550994.43547072,1472521.6654615947,30775497.21773536,628753.6730158426,10258499.072578454,94157.86470789768
2010-04-01,102662688.14480914,-35904.746754024585,61550994.43547072,1472521.6654615947,30765752.09225676,628753.6730158426,10381846.363835698,94157.86470789768
2010-04-05,103117845.81112187,-35904.746754024585,62126113.95267609,1472521.6654615947,30586471.04521042,628753.6730158426,10441165.559989374,94157.86470789768
2010-04-06,103333322.69407913,-35904.746754024585,62305028.166110754,1472521.6654615947,30609851.671143334,628753.6730158426,10454347.60357908,94157.86470789768
2010-04-07,103434382.79247835,-35904.746754024585,62151683.558012016,1472521.6654615947,30726785.981371846,628753.6730158426,10591817.99984851,94157.86470789768
2010-04-08,103574471.63071705,-35904.746754024585,62292282.68401339,1472521.6654615947,30711210.090439517,628753.6730158426,10606883.603018174,94157.86470789768
2010-04-09,104096766.20509692,-35904.746754024585,62662923.99967255,1472521.6654615947,30769647.264242303,628753.6730158426,10700099.687936092,94157.86470789768
2010-04-12,104119727.40082945,-35904.746754024585,62714007.03810068,1472521.6654615947,30800844.617700387,628753.6730158426,10640780.491782418,94157.86470789768
2010-04-13,104471513.0992165,-35904.746754024585,63033559.69810731,1472521.6654615947,30863208.144052636,628753.6730158426,10610650.003810588,94157.86470789768
2010-04-14,105234185.97054684,-35904.746754024585,63787604.6631961,1472521.6654615947,30839822.72110989,628753.6730158426,10642663.332994875,94157.86470789768
2010-04-15,105620480.24964201,-35904.746754024585,64068752.360179506,1472521.6654615947,30886591.168490473,628753.6730158426,10701041.46772607,94157.86470789768
2010-04-16,104693046.89007057,-35904.746754024585,63301961.91299336,1472521.6654615947,30952869.054867603,628753.6730158426,10474120.668963637,94157.86470789768
2010-04-19,104607229.28120112,-35904.746754024585,63263596.27054073,1472521.6654615947,30913890.951458104,628753.6730158426,10465646.805956326,94157.86470789768
2010-04-20,104987096.61935996,-35904.746754024585,63583087.141079284,1472521.6654615947,30945078.71089652,628753.6730158426,10494835.514138175,94157.86470789768
2010-04-21,105448394.36958241,-35904.746754024585,63940994.20908979,1472521.6654615947,30968435.351780266,628753.6730158426,10574869.555466391,94157.86470789768
2010-04-22,105742473.37499452,-35904.746754024585,64298805.78428603,1472521.6654615947,30948957.093347643,628753.6730158426,10530615.244114878,94157.86470789768
2010-04-23,106114607.01556823,-35904.746754024585,64567196.764723316,1472521.6654615947,30925586.061434396,628753.6730158426,10657728.936164536,94157.86470789768
2010-04-26,105916985.58088973,-35904.746754024585,64426614.49039506,1472521.6654615947,30909976.591433227,628753.6730158426,10616299.245815463,94157.86470789768
2010-04-27,104839528.73117341,-35904.746754024585,63059089.98287265,1472521.6654615947,31023027.722200777,628753.6730158426,10793315.77285401,94157.86470789768
2010-04-28,104828235.95455548,-35904.746754024585,63097427.53920343,1472521.6654615947,31003527.877223898,628753.6730158426,10763185.284882186,94157.86470789768
2010-04-29,105936269.6350267,-35904.746754024585,64196583.53518603,1472521.6654615947,31015230.18271494,628753.6730158426,10760360.663879747,94157.86470789768
2010-04-30,104825625.97492942,-36701.81472637953,62917396.67379349,1472196.5184505847,31458698.33689674,635905.5748939181,10486232.778965581,90900.07561966521
2010-05-03,105723906.92033106,-36701.81472637953,63799061.239164405,1472196.5184505847,31441681.439283665,635905.5748939181,10519866.056609372,90900.07561966521
2010-05-04,103820000.3279585,-36701.81472637953,61882393.28037472,1472196.5184505847,31532616.926214695,635905.5748939181,10441691.936095458,90900.07561966521
2010-05-05,103536427.3995602,-36701.81472637953,61562989.80445934,1472196.5184505847,31548450.03964599,635905.5748939181,10461689.37018125,90900.07561966521
2010-05-06,101910843.63430986,-36701.81472637953,59505770.61326586,1472196.5184505847,31671025.069779772,635905.5748939181,10770749.765990619,90900.07561966521
